,0,1,2,3,4,5,6,7,8,9
0,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.4374300057516789
1,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1200965156214726
2,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.0716008752168704
3,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.1330587338053723
4,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1028655377740368
5,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,0.1450672051650336
6,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.5593941506025679
7,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.4122927732470225
8,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.28681212389701605
9,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.1445601200950479
10,0.0002,32.0,0.9,0.999,0.25,0.01,4.0,20.0,2.0,0.1619798921034967
11,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.0279731271761858
12,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.1058865621506124
13,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.0817472595742976
14,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.4563743204307953
15,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.5121497950511846
16,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.5420340771196863
17,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.6840120868912709
18,0.0002,16.0,0.9,0.999,0.35,0.01,4.0,20.0,2.0,0.209941507004274
19,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.0959859986624445
20,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,0.1025016665068521
21,0.0002,32.0,0.9,0.999,0.25,0.01,4.0,20.0,2.0,0.0874817753894723
22,0.0002,32.0,0.9,0.999,0.35,0.01,4.0,20.0,1.0,0.0725375946101145
23,0.0002,16.0,0.9,0.999,0.35,0.01,4.0,20.0,1.0,0.0874690312460704
24,0.001,32.0,0.9,0.999,0.25,0.01,4.0,20.0,2.0,0.1519345268301708
25,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.2890203536231002
26,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.1891223717543633
27,0.0002,32.0,0.9,0.999,0.35,0.01,4.0,20.0,1.0,0.0716008752168704
28,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.1908764399981188
29,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.0960960979349698
30,0.0002,16.0,0.9,0.999,0.35,0.01,4.0,20.0,2.0,-0.0717260144332956
31,0.0002,32.0,0.9,0.999,0.35,0.01,4.0,20.0,1.0,0.1366368665083723
32,0.0002,32.0,0.9,0.999,0.35,0.01,4.0,20.0,1.0,0.0682589928989438
33,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,0.1649661476694837
34,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1450672051650336
35,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.0659019953313397
36,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.8275550973350174
37,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.6292099165045355
38,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.4563743204307953
39,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.6135035643396125
40,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.4748751125966683
41,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.3598334749245477
